Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),ULR-Baseline (ms),P-ULR-Par4,PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_3.txt,TERMINATING,0.48,33.11,82.79,116.38,6,TERMINATING,4,4,8,Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_4.txt,INFEASIBLE,0,0,0,-,-,-,3,4,7,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_5.txt,TERMINATING,0.43,48.6,50.58,99.61,9,TERMINATING,7,8,15,Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_6.txt,UNCHECKED,0,0,0,-,-,-,9,9,18,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_7.txt,TERMINATING,0.35,27.21,36.18,63.74,6,TERMINATING,10,4,14,Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_8.txt,INFEASIBLE,0.25,16.76,24.49,-,-,-,15,15,30,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_9.txt,INFEASIBLE,0.25,16.9,26.77,-,-,-,32,32,64,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames.bpl/lasso_trace_1.txt,NONTERMINATING,2.81,0,0,2.81,1,NONTERMINATING,0,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_1.txt,TERMINATING,1.8,53.41,60.49,115.7,7,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_10.txt,INFEASIBLE,0,0,0,-,-,-,2,4,6,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_11.txt,INFEASIBLE,0,0,0,-,-,-,3,4,7,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_12.txt,INFEASIBLE,0.23,49.45,71.1,-,-,-,4,2,6,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_13.txt,NONTERMINATING,1.27,0,0,1.27,1,NONTERMINATING,4,4,8,Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_2.txt,INFEASIBLE,0.35,64.04,89.75,-,-,-,1,2,3,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_3.txt,TERMINATING,0.43,69.22,99.44,169.09,10,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_4.txt,INFEASIBLE,0,0,0,-,-,-,2,10,12,-
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_5.txt,TERMINATING,0.28,94.53,89.25,184.06,10,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_inc-originalVarNames-noSymmetry.bpl/lasso_trace_6.txt,TERMINATING,0.38,28.46,36.54,65.38,12,TERMINATING,2,2,4,Affine Template / Affine Template
